locus_tag	ftype	length_bp	gene	EC_number	COG	product
JDNKGJJD_00001	CDS	1995	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
JDNKGJJD_00002	CDS	1260	pgaC_1	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
JDNKGJJD_00003	CDS	420				hypothetical protein
JDNKGJJD_00004	CDS	549	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
JDNKGJJD_00005	CDS	297				hypothetical protein
JDNKGJJD_00006	CDS	582	pnuC		COG3201	Nicotinamide riboside transporter PnuC
JDNKGJJD_00007	CDS	303				hypothetical protein
JDNKGJJD_00008	CDS	813	kdgR		COG1414	Transcriptional regulator KdgR
JDNKGJJD_00009	CDS	306	doxA			Naphthalene 1,2-dioxygenase system, ferredoxin component
JDNKGJJD_00010	CDS	300				hypothetical protein
JDNKGJJD_00011	CDS	930				hypothetical protein
JDNKGJJD_00012	CDS	765	cpnA	1.1.1.163		Cyclopentanol dehydrogenase
JDNKGJJD_00013	CDS	930				hypothetical protein
JDNKGJJD_00014	CDS	1212	thcD	1.18.1.-		Rhodocoxin reductase
JDNKGJJD_00015	CDS	1224	gudP_1			putative glucarate transporter
JDNKGJJD_00016	CDS	522				hypothetical protein
JDNKGJJD_00017	CDS	825	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
JDNKGJJD_00018	CDS	795	baiA	1.1.1.392		3-alpha-hydroxycholanate dehydrogenase (NADP(+))
JDNKGJJD_00019	CDS	792	nadX	1.4.1.21	COG1712	L-aspartate dehydrogenase
JDNKGJJD_00020	CDS	1467	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
JDNKGJJD_00021	CDS	1641	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
JDNKGJJD_00022	CDS	1197				hypothetical protein
JDNKGJJD_00023	CDS	1299	proP_1			Proline/betaine transporter
JDNKGJJD_00024	CDS	483	def_1	3.5.1.88	COG0242	Peptide deformylase
JDNKGJJD_00025	CDS	1323	glsA	3.5.1.2		Glutaminase
JDNKGJJD_00026	CDS	789	nimR_1			HTH-type transcriptional regulator NimR
JDNKGJJD_00027	CDS	1221	fsr			Fosmidomycin resistance protein
JDNKGJJD_00028	CDS	1146	mro	5.1.3.3	COG2017	Aldose 1-epimerase
JDNKGJJD_00029	CDS	447				hypothetical protein
JDNKGJJD_00030	CDS	906	perR			HTH-type transcriptional regulator PerR
JDNKGJJD_00031	CDS	750	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
JDNKGJJD_00032	CDS	1329	nicT			Putative metabolite transport protein NicT
JDNKGJJD_00033	CDS	852	aptA	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
JDNKGJJD_00034	CDS	1005	aptB	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
JDNKGJJD_00035	CDS	3687	metH	2.1.1.13	COG0646	Methionine synthase
