locus_tag	ftype	length_bp	gene	EC_number	COG	product
GNBELFNB_00001	CDS	2289	bfrD_1		COG4774	putative TonB-dependent receptor BfrD
GNBELFNB_00002	CDS	684		1.14.11.-	COG3128	PKHD-type hydroxylase
GNBELFNB_00003	CDS	1698	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
GNBELFNB_00004	CDS	1161	metXS_1	2.3.1.46	COG2021	Homoserine O-succinyltransferase
GNBELFNB_00005	CDS	594	metXA_1		COG0500	Bifunctional methionine biosynthesis protein MetXA/MetW
GNBELFNB_00006	CDS	543				hypothetical protein
GNBELFNB_00007	CDS	624	rdgB_1	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
GNBELFNB_00008	CDS	876				hypothetical protein
GNBELFNB_00009	CDS	219	tatA_1		COG1826	Sec-independent protein translocase protein TatA
GNBELFNB_00010	CDS	438	tatB_1			Sec-independent protein translocase protein TatB
GNBELFNB_00011	CDS	768	tatC_1		COG0805	Sec-independent protein translocase protein TatC
GNBELFNB_00012	CDS	2181				hypothetical protein
GNBELFNB_00013	CDS	2334				hypothetical protein
GNBELFNB_00014	CDS	780				hypothetical protein
GNBELFNB_00015	CDS	819	lgt_1	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
GNBELFNB_00016	CDS	360				hypothetical protein
GNBELFNB_00017	CDS	363				hypothetical protein
GNBELFNB_00018	CDS	843	thyA_1	2.1.1.45	COG0207	Thymidylate synthase
GNBELFNB_00019	CDS	510	dhfrIII_1	1.5.1.3		Dihydrofolate reductase type 3
GNBELFNB_00020	CDS	1056				hypothetical protein
GNBELFNB_00021	CDS	522	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
GNBELFNB_00022	CDS	405	exbD_1		COG0848	Biopolymer transport protein ExbD
GNBELFNB_00023	CDS	621	tolQ_1			Tol-Pal system protein TolQ
GNBELFNB_00024	CDS	756				hypothetical protein
GNBELFNB_00025	CDS	864	purU_1	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
GNBELFNB_00026	CDS	693				hypothetical protein
GNBELFNB_00027	CDS	1449	calB_1	1.2.1.68		Coniferyl aldehyde dehydrogenase
GNBELFNB_00028	CDS	237	rpmB_1		COG0227	50S ribosomal protein L28
GNBELFNB_00029	CDS	156	rpmG_1		COG0267	50S ribosomal protein L33
GNBELFNB_00030	CDS	1710	ybaL_1		COG1226	Putative cation/proton antiporter YbaL
GNBELFNB_00031	CDS	279				hypothetical protein
GNBELFNB_00032	CDS	504				hypothetical protein
GNBELFNB_00033	CDS	240				hypothetical protein
GNBELFNB_00034	CDS	1980	pcrA_1	3.6.4.12		ATP-dependent DNA helicase PcrA
GNBELFNB_00035	CDS	573				hypothetical protein
GNBELFNB_00036	CDS	759				hypothetical protein
GNBELFNB_00037	CDS	2637	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
GNBELFNB_00038	CDS	450				hypothetical protein
GNBELFNB_00039	CDS	378				hypothetical protein
GNBELFNB_00040	CDS	1011				Zinc-type alcohol dehydrogenase-like protein
GNBELFNB_00041	CDS	246	slyX_1			Protein SlyX
GNBELFNB_00042	CDS	1911	uup_1		COG0488	ABC transporter ATP-binding protein uup
GNBELFNB_00043	CDS	633	leuE_1		COG1280	Leucine efflux protein
