locus_tag	ftype	length_bp	gene	EC_number	COG	product
OGCOPLJJ_00001	CDS	879				hypothetical protein
OGCOPLJJ_00002	CDS	267				hypothetical protein
OGCOPLJJ_00003	CDS	300				hypothetical protein
OGCOPLJJ_00004	CDS	444				hypothetical protein
OGCOPLJJ_00005	CDS	225				hypothetical protein
OGCOPLJJ_00006	CDS	132				hypothetical protein
OGCOPLJJ_00007	CDS	258				hypothetical protein
OGCOPLJJ_00008	CDS	1041				hypothetical protein
OGCOPLJJ_00009	CDS	1092				hypothetical protein
OGCOPLJJ_00010	CDS	897				hypothetical protein
OGCOPLJJ_00011	CDS	408	merR1_1			Mercuric resistance operon regulatory protein
OGCOPLJJ_00012	CDS	897	zitB_1			Zinc transporter ZitB
OGCOPLJJ_00013	CDS	513	lspA_1	3.4.23.36	COG0597	Lipoprotein signal peptidase
OGCOPLJJ_00014	CDS	249				hypothetical protein
OGCOPLJJ_00015	CDS	363				hypothetical protein
OGCOPLJJ_00016	CDS	351	merT_1			Mercuric transport protein MerT
OGCOPLJJ_00017	CDS	336				hypothetical protein
OGCOPLJJ_00018	CDS	426	merC_1			Mercuric transport protein MerC
OGCOPLJJ_00019	CDS	1686	merA_1	1.16.1.1		Mercuric reductase
OGCOPLJJ_00020	CDS	264				hypothetical protein
OGCOPLJJ_00021	CDS	360				hypothetical protein
OGCOPLJJ_00022	CDS	597	fic_1	2.7.7.-	COG2184	putative protein adenylyltransferase Fic
OGCOPLJJ_00023	CDS	171				hypothetical protein
OGCOPLJJ_00024	CDS	2286				hypothetical protein
OGCOPLJJ_00025	CDS	1407				hypothetical protein
OGCOPLJJ_00026	CDS	3252				hypothetical protein
OGCOPLJJ_00027	CDS	1170				hypothetical protein
OGCOPLJJ_00028	CDS	897				hypothetical protein
OGCOPLJJ_00029	CDS	591				hypothetical protein
OGCOPLJJ_00030	CDS	2367				hypothetical protein
OGCOPLJJ_00031	CDS	2367				hypothetical protein
OGCOPLJJ_00032	CDS	591				hypothetical protein
OGCOPLJJ_00033	CDS	897				hypothetical protein
OGCOPLJJ_00034	CDS	1170				hypothetical protein
OGCOPLJJ_00035	CDS	3252				hypothetical protein
OGCOPLJJ_00036	CDS	1407				hypothetical protein
OGCOPLJJ_00037	CDS	2286				hypothetical protein
OGCOPLJJ_00038	CDS	171				hypothetical protein
OGCOPLJJ_00039	CDS	597	fic_2	2.7.7.-	COG2184	putative protein adenylyltransferase Fic
OGCOPLJJ_00040	CDS	360				hypothetical protein
OGCOPLJJ_00041	CDS	264				hypothetical protein
OGCOPLJJ_00042	CDS	1686	merA_2	1.16.1.1		Mercuric reductase
OGCOPLJJ_00043	CDS	426	merC_2			Mercuric transport protein MerC
OGCOPLJJ_00044	CDS	336				hypothetical protein
OGCOPLJJ_00045	CDS	351	merT_2			Mercuric transport protein MerT
OGCOPLJJ_00046	CDS	363				hypothetical protein
OGCOPLJJ_00047	CDS	249				hypothetical protein
OGCOPLJJ_00048	CDS	513	lspA_2	3.4.23.36	COG0597	Lipoprotein signal peptidase
OGCOPLJJ_00049	CDS	897	zitB_2			Zinc transporter ZitB
OGCOPLJJ_00050	CDS	408	merR1_2			Mercuric resistance operon regulatory protein
OGCOPLJJ_00051	CDS	897				hypothetical protein
OGCOPLJJ_00052	CDS	1092				hypothetical protein
OGCOPLJJ_00053	CDS	1041				hypothetical protein
OGCOPLJJ_00054	CDS	258				hypothetical protein
OGCOPLJJ_00055	CDS	132				hypothetical protein
OGCOPLJJ_00056	CDS	225				hypothetical protein
OGCOPLJJ_00057	CDS	444				hypothetical protein
OGCOPLJJ_00058	CDS	300				hypothetical protein
OGCOPLJJ_00059	CDS	267				hypothetical protein
OGCOPLJJ_00060	CDS	879				hypothetical protein
OGCOPLJJ_00061	CDS	966				hypothetical protein
OGCOPLJJ_00062	CDS	915				hypothetical protein
OGCOPLJJ_00063	CDS	531				hypothetical protein
OGCOPLJJ_00064	CDS	1809	uvrC_1		COG0322	UvrABC system protein C
OGCOPLJJ_00065	CDS	795				hypothetical protein
OGCOPLJJ_00066	CDS	588	pgsA_1	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
OGCOPLJJ_00067	CDS	855	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
OGCOPLJJ_00068	CDS	612				hypothetical protein
OGCOPLJJ_00069	CDS	774				hypothetical protein
OGCOPLJJ_00070	CDS	2100	aaeB_1		COG1289	p-hydroxybenzoic acid efflux pump subunit AaeB
OGCOPLJJ_00071	CDS	207				hypothetical protein
OGCOPLJJ_00072	CDS	1002	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
OGCOPLJJ_00073	CDS	441	yqgF_1	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
OGCOPLJJ_00074	CDS	555				hypothetical protein
OGCOPLJJ_00075	CDS	1668	recN_1		COG0497	DNA repair protein RecN
OGCOPLJJ_00076	CDS	1311				hypothetical protein
OGCOPLJJ_00077	CDS	327	ppnP_1	2.4.2.2	COG3123	Pyrimidine/purine nucleoside phosphorylase
OGCOPLJJ_00078	CDS	750	rlmB_1	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
OGCOPLJJ_00079	CDS	915				hypothetical protein
OGCOPLJJ_00080	CDS	597	coaE_1	2.7.1.24	COG0237	Dephospho-CoA kinase
OGCOPLJJ_00081	CDS	861	outO_1			Type 4 prepilin-like proteins leader peptide-processing enzyme
OGCOPLJJ_00082	CDS	1227	epsF_1		COG1459	Type II secretion system protein F
OGCOPLJJ_00083	CDS	1713				hypothetical protein
OGCOPLJJ_00084	CDS	795	tpiA_1	5.3.1.1		Triosephosphate isomerase
OGCOPLJJ_00085	CDS	330	secG_1		COG1314	Protein-export membrane protein SecG
