locus_tag	ftype	length_bp	gene	EC_number	COG	product
PPIPMGKO_00001	CDS	408				hypothetical protein
PPIPMGKO_00002	CDS	2880	valS_1	6.1.1.9	COG0525	Valine--tRNA ligase
PPIPMGKO_00003	CDS	678				hypothetical protein
PPIPMGKO_00004	CDS	807	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
PPIPMGKO_00005	CDS	435				hypothetical protein
PPIPMGKO_00006	CDS	435				hypothetical protein
PPIPMGKO_00007	CDS	351				hypothetical protein
PPIPMGKO_00008	CDS	1455	oprM_1		COG1538	Outer membrane protein OprM
PPIPMGKO_00009	CDS	3177	mexB_1		COG0841	Multidrug resistance protein MexB
PPIPMGKO_00010	CDS	1131	mexA_1			Multidrug resistance protein MexA
PPIPMGKO_00011	CDS	627				hypothetical protein
PPIPMGKO_00012	CDS	2061				hypothetical protein
PPIPMGKO_00013	CDS	978	sdsA_1	2.5.1.84		All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
PPIPMGKO_00014	CDS	312	rplU_1		COG0261	50S ribosomal protein L21
PPIPMGKO_00015	CDS	258	rpmA_1		COG0211	50S ribosomal protein L27
PPIPMGKO_00016	CDS	696	lolA_1		COG2834	Outer-membrane lipoprotein carrier protein
PPIPMGKO_00017	CDS	789				hypothetical protein
PPIPMGKO_00018	CDS	1272	serS_1	6.1.1.11	COG0172	Serine--tRNA ligase
PPIPMGKO_00019	CDS	1374	cysG_1		COG0007	Siroheme synthase
PPIPMGKO_00020	CDS	474	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
PPIPMGKO_00021	CDS	381	yybR_1		COG1733	putative HTH-type transcriptional regulator YybR
PPIPMGKO_00022	CDS	561	fldP_1			Flavodoxin FldP
PPIPMGKO_00023	CDS	1386	plaP_1		COG0531	Low-affinity putrescine importer PlaP
PPIPMGKO_00024	CDS	1185	dhaT_1	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
PPIPMGKO_00025	CDS	450				hypothetical protein
PPIPMGKO_00026	CDS	654	lipB_1	2.3.1.181	COG0321	Octanoyltransferase
PPIPMGKO_00027	CDS	288				hypothetical protein
PPIPMGKO_00028	CDS	1887	rpoD_1		COG0568	RNA polymerase sigma factor RpoD
PPIPMGKO_00029	CDS	207				hypothetical protein
PPIPMGKO_00030	CDS	525				hypothetical protein
PPIPMGKO_00031	CDS	933	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
PPIPMGKO_00032	CDS	486				hypothetical protein
PPIPMGKO_00033	CDS	1275	gltA_1	2.3.3.16	COG0372	Citrate synthase
PPIPMGKO_00034	CDS	393	sdhC_1		COG2009	Succinate dehydrogenase cytochrome b556 subunit
PPIPMGKO_00035	CDS	366	sdhD_1		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
PPIPMGKO_00036	CDS	1836	sdhA_1	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
PPIPMGKO_00037	CDS	711	sdhB_1	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
PPIPMGKO_00038	CDS	2841	sucA_1	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
PPIPMGKO_00039	CDS	1197	sucB_1	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
PPIPMGKO_00040	CDS	1434	lpdG_1	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
PPIPMGKO_00041	CDS	1167	sucC_1	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
PPIPMGKO_00042	CDS	891	sucD_1	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
PPIPMGKO_00043	CDS	891	sucD_2	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
PPIPMGKO_00044	CDS	1167	sucC_2	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
PPIPMGKO_00045	CDS	1434	lpdG_2	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
PPIPMGKO_00046	CDS	1197	sucB_2	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
PPIPMGKO_00047	CDS	2841	sucA_2	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
PPIPMGKO_00048	CDS	711	sdhB_2	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
PPIPMGKO_00049	CDS	1836	sdhA_2	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
PPIPMGKO_00050	CDS	366	sdhD_2		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
PPIPMGKO_00051	CDS	393	sdhC_2		COG2009	Succinate dehydrogenase cytochrome b556 subunit
PPIPMGKO_00052	CDS	1275	gltA_2	2.3.3.16	COG0372	Citrate synthase
PPIPMGKO_00053	CDS	486				hypothetical protein
PPIPMGKO_00054	CDS	933	glpE_2	2.8.1.1		Thiosulfate sulfurtransferase GlpE
PPIPMGKO_00055	CDS	525				hypothetical protein
PPIPMGKO_00056	CDS	207				hypothetical protein
PPIPMGKO_00057	CDS	1887	rpoD_2		COG0568	RNA polymerase sigma factor RpoD
PPIPMGKO_00058	CDS	288				hypothetical protein
PPIPMGKO_00059	CDS	654	lipB_2	2.3.1.181	COG0321	Octanoyltransferase
PPIPMGKO_00060	CDS	450				hypothetical protein
